breed,akc_group,datadog_score,popularity_in_usa,lifetime_cost,easiest_to_train,longevity,genetic_ailments,purchase_price,food_cost,grooming_required,suitability_children,popularity_rating,size
Scottish Terrier,terrier,2.27,54,"$17,525",65,10.69,1,$829,$324,1,2,54,small
Rottweiler,working,2.24,10,"$18,886",9,9.11,3,"$1,118",$710,2,2,10,large
Kerry Blue Terrier,terrier,2.13,124,"$17,240",35,9.40,1,"$1,200",$466,1,2,124,medium
Afghan Hound,hound,2.08,88,"$24,077",80,11.92,0,$890,$710,1,1,88,large
Newfoundland,working,2.07,43,"$19,351",34,9.32,2,"$1,178",$710,2,1,43,large
German Shepherd,herding,2.06,2,"$17,416",3,9.73,8,$820,$466,2,2,2,large
Pekingese,toy,2.05,64,"$20,565",74,11.56,1,$885,$466,1,2,64,small
Old English Sheepdog,herding,2.04,84,"$22,611",63,11.19,1,$832,$710,1,1,84,medium
Akita,working,1.95,47,"$20,994",54,10.16,1,"$1,202",$710,2,3,47,large
Rhodesian Ridgeback,hound,1.91,44,"$16,530",52,9.10,2,$995,$466,2,2,44,large
French Bulldog,non-sporting,1.9,18,"$17,266",58,9.00,0,"$1,900",$466,2,1,18,medium
Borzoi,hound,1.89,102,"$16,176",76,9.08,0,$675,$466,1,2,102,large
Bernese Mountain Dog,working,1.85,34,"$16,099",22,7.56,4,"$1,320",$710,2,1,34,large
Bull Terrier,terrier,1.85,51,"$18,490",66,10.21,2,"$1,085",$466,2,2,51,medium
Boxer,working,1.83,7,"$15,746",48,8.81,4,$700,$466,2,1,7,medium
Alaskan Malamute,working,1.82,58,"$21,986",50,10.67,2,"$1,210",$710,1,2,58,large
Chow Chow,non-sporting,1.76,68,"$15,898",77,9.01,2,$515,$466,1,2,68,medium
Bloodhound,hound,1.66,48,"$13,824",75,6.75,2,$608,$710,2,2,48,large
Irish Wolfhound,hound,1.66,79,"$18,435",41,6.94,3,"$1,333","$1,217",2,1,79,large
Bullmastiff,working,1.64,40,"$13,936",69,7.57,2,$980,$466,2,1,40,large
Mastiff,working,1.57,28,"$13,581",72,6.50,2,$900,$701,2,1,28,large
Great Dane,working,1.53,19,"$14,662",48,6.96,4,"$1,040",$710,2,1,19,large
Saint Bernard,working,1.42,49,"$20,022",65,7.78,3,$875,"$1,217",1,1,49,large
Bulldog,non-sporting,0.99,6,"$13,479",78,6.29,5,"$2,680",$466,2,2,6,medium
Airedale Terrier,terrier,,55,no data,29,11.45,1,$733,,-,-,,medium
American English Coonhound,hound,,33,no data,no data,11.5,no data,$283,,-,-,,large
American Eskimo Dog,non-sporting,,116,no data,no data,no data,0,$560,,-,-,,small
American Foxhound,hound,,173,no data,46,no data,no data,$757,,-,-,,medium
American Staffordshire Terrier,terrier,,72,no data,34,no data,1,"$1,043",,-,-,,medium
American Water Spaniel,sporting,,157,no data,44,no data,0,$730,,-,-,,medium
Anatolian Shepherd Dog,working,,111,no data,no data,10.75,no data,no data,,2,2,,large
Bearded Collie,herding,,112,no data,34,12.77,0,no data,,1,1,,medium
Beauceron,herding,,144,no data,no data,no data,no data,$967,,-,-,,large
Belgian Malinois,herding,,74,no data,22,no data,0,"$1,080",,2,1,,large
Belgian Sheepdog,herding,,118,no data,15,no data,4,no data,,-,-,,large
Black and Tan Coonhound,hound,,109,no data,44,no data,0,$325,,-,-,,large
